lane,band_number,position_y,intensity
2,1,110,242.8523331422096
2,2,161,251.06356949071107
2,3,191,242.16764802634094
2,4,230,250.51731660769923
2,5,267,246.53272784055423
2,6,341,250.98458547277824
2,7,386,239.7180720711242
3,1,90,236.94618139615187
3,2,139,246.123938871079
3,3,170,244.16786347776474
3,4,216,240.86018796475145
3,5,238,238.41221799922747
3,6,267,232.13346945425894
3,7,339,248.2435867511772
3,8,363,244.85731800582036
3,9,390,245.55787990857704
3,10,413,244.6974546760547
4,1,92,242.34007952438634
4,2,140,248.2528734398395
4,3,187,247.24551792101505
4,4,218,244.47581688304808
4,5,240,243.69165065954542
4,6,269,238.23217766957876
4,7,307,247.30242730465613
4,8,340,249.4126149534507
4,9,365,246.96930680011513
4,10,391,247.79520704273153
4,11,415,246.369341827641
5,1,92,238.97492546633322
5,2,140,247.32668227350507
5,3,187,245.99848760197648
5,4,239,242.54826574165332
5,5,268,233.77282674574826
5,6,338,248.90768087122507
5,7,364,246.8057901271908
6,1,90,242.56591157651474
6,2,138,248.30281278740478
6,3,170,247.31854496355342
6,4,216,244.89876149364673
6,5,236,244.11321876740783
6,6,265,237.15718526738607
6,7,336,249.67339168521102
6,8,361,247.63289770452366
7,1,88,245.76345921944733
7,2,136,249.72384281884626
7,3,183,249.35288160283673
7,4,215,248.0629880114705
7,5,263,240.42534323443437
7,6,335,250.50159748566534
7,7,359,249.33030013140896
8,1,85,243.23103946093875
8,2,134,249.0816893749987
8,3,212,246.2767253993419
8,4,262,236.1513872220298
8,5,334,250.19584058175388
9,1,104,245.0208640479224
9,2,148,251.21459206908133
9,3,185,243.22307912697585
9,4,224,250.88116334857077
9,5,339,251.49849712738288
9,6,380,241.43076708859283
