lane,band_number,position_y,intensity,area,normalized_area
2,1,110,242.8523331422096,3735.4059887562244,0.13798687307873364
2,2,161,251.06356949071107,4003.35263171115,0.14788489206906164
2,3,191,242.16764802634094,3739.2270149986284,0.13812802278634995
2,4,230,250.51731660769923,4001.263914940284,0.14780773432588018
2,5,267,246.53272784055423,3855.8165797240777,0.14243487176568462
2,6,341,250.98458547277824,4012.8022730147186,0.1482339642874818
2,7,386,239.7180720711242,3722.865974789889,0.13752364168680817
3,1,90,236.94618139615187,3581.9693154789093,0.0955951833012103
3,2,139,246.123938871079,3831.300490291797,0.10224930489179612
3,3,170,244.16786347776474,3774.1738971221293,0.10072471697256714
3,4,216,240.86018796475145,3779.9958138369857,0.10088009161330347
3,5,238,238.41221799922747,3604.5041230166344,0.09619658964154863
3,6,267,232.13346945425894,3532.1684347805176,0.094266103150146
3,7,339,248.2435867511772,3919.6811343005274,0.10460799730933963
3,8,363,244.85731800582036,3776.063562500989,0.10077514814390338
3,9,390,245.55787990857704,3873.295398444772,0.10337006014931692
3,10,413,244.6974546760547,3797.034002604307,0.10133480482686848
4,1,92,242.34007952438634,3622.882062648542,0.08683285625666694
4,2,140,248.2528734398395,3861.5310828852917,0.09255277087482666
4,3,187,247.24551792101505,3832.736673325043,0.09186262949481365
4,4,218,244.47581688304808,3834.8042864544814,0.09191218582884779
4,5,240,243.69165065954542,3684.37224939348,0.08830664658560616
4,6,269,238.23217766957876,3540.751099068014,0.08486434995933638
4,7,307,247.30242730465613,3838.323892569063,0.09199654337804279
4,8,340,249.4126149534507,3944.663599804302,0.09454528229723994
4,9,365,246.96930680011513,3819.922905422398,0.09155551045335547
4,10,391,247.79520704273153,3900.3275917546534,0.09348264151915313
4,11,415,246.369341827641,3842.1640284977098,0.09208858335211098
5,1,92,238.97492546633322,3627.79020023511,0.13710893892137183
5,2,140,247.32668227350507,3890.2070892986053,0.14702673990451892
5,3,187,245.99848760197648,3848.337713479758,0.1454443259899959
5,4,239,242.54826574165332,3739.908442364316,0.1413463430609686
5,5,268,233.77282674574826,3539.480588587652,0.13377135971164889
5,6,338,248.90768087122507,3952.5787919427676,0.14938402009335294
5,7,364,246.8057901271908,3860.877945051934,0.14591827231814297
6,1,90,242.56591157651474,3688.930183986644,0.12134101555083447
6,2,138,248.30281278740478,3889.6541158511045,0.1279434841590824
6,3,170,247.31854496355342,3840.3225393606926,0.12632080677254506
6,4,216,244.89876149364673,3857.2824051262132,0.1268786723956266
6,5,236,244.11321876740783,3750.353201240851,0.12336142009092996
6,6,265,237.15718526738607,3539.400781723638,0.1164225029684971
6,7,336,249.67339168521102,3963.5734463480094,0.13037493343678028
6,8,361,247.63289770452366,3871.829212916825,0.127357164625704
7,1,88,245.76345921944733,3730.445613552589,0.13866553102371812
7,2,136,249.72384281884626,3923.950500566253,0.14585836016347367
7,3,183,249.35288160283673,3906.280127765984,0.1452015293497943
7,4,215,248.0629880114705,3915.4662480729266,0.14554298942785637
7,5,263,240.42534323443437,3552.7727760946764,0.1320611998239584
7,6,335,250.50159748566534,3972.1971639271374,0.1476517515939115
7,7,359,249.33030013140896,3901.359914892591,0.14501863861728767
8,1,85,243.23103946093875,3751.81850000502,0.19621488796529296
8,2,134,249.0816893749987,3936.526996578782,0.205874885366929
8,3,212,246.2767253993419,3898.5701033339164,0.20388979265640958
8,4,262,236.1513872220298,3556.5052974070695,0.1860002791920146
8,5,334,250.19584058175388,3977.546624103311,0.20802015481935393
9,1,104,245.0208640479224,3783.1566343367945,0.16217734300431264
9,2,148,251.21459206908133,4014.809932586155,0.17210791687145913
9,3,185,243.22307912697585,3752.929382988563,0.16088155332817644
9,4,224,250.88116334857077,4010.779913623735,0.17193515696993925
9,5,339,251.49849712738288,4020.7241607714523,0.1723614495442296
9,6,380,241.43076708859283,3744.8820994125963,0.16053658028188297
