lane,band_number,position_y,intensity,area,molecular_weight_kDa,relative_concentration_%
1,1,88,245.881996541025,3886.0151428068125,132.56,12.46
1,2,111,240.87587837479148,3801.529845729663,109.26,12.19
1,3,138,250.04043857132874,3958.5259822373146,87.08,12.69
1,4,189,243.2927719815194,3842.5843752607934,56.73,12.32
1,5,222,248.72127243496567,3962.9035688690115,42.99,12.71
1,6,266,246.16988717406178,3874.0076976948976,29.71,12.42
1,7,322,250.61591669213624,3993.9094742573266,18.56,12.8
1,8,387,245.4643325749642,3871.7864022667995,10.75,12.41
2,1,92,235.73018235277166,3595.5849636714056,128.17,7.34
2,2,123,242.64823853849282,3790.224740366658,98.78,7.73
2,3,140,245.95092623578296,3857.723878696256,85.63,7.87
2,4,157,243.5304318426245,3818.02026793521,74.23,7.79
2,5,172,242.95853398113704,3812.283405176564,65.44,7.78
2,6,187,243.9228779295593,3822.1868205838537,57.69,7.8
2,7,219,240.9879603345957,3820.2091310330347,44.09,7.8
2,8,240,238.0588470912679,3674.69226693008,36.96,7.5
2,9,268,229.91246872018968,3520.3397559154646,29.21,7.18
2,10,291,238.28786488805508,3646.201280343593,24.08,7.44
2,11,340,248.155814535551,3938.614566721966,15.95,8.04
2,12,365,243.77057904173927,3824.6668196203586,12.93,7.8
2,13,390,245.5122654367422,3886.612171875549,10.48,7.93
3,1,89,239.9975714245317,3705.891464366793,131.45,8.06
3,2,120,245.34354220065438,3862.2048688829805,101.3,8.4
3,3,137,247.65681164180083,3903.9382124890994,87.82,8.49
3,4,155,245.93788785833246,3875.024478965649,75.49,8.43
3,5,183,246.63364306788134,3891.516149974803,59.67,8.47
3,6,216,245.22635820791322,3887.7381809935514,45.22,8.46
3,7,235,241.623705289922,3775.867898422516,38.55,8.22
3,8,264,232.56638574209916,3524.3753246734177,30.21,7.67
3,9,287,242.46817380390442,3729.657208431355,24.9,8.12
3,10,335,249.41549591599562,3965.7640421982815,16.64,8.63
3,11,360,246.76318742546576,3888.4712696988418,13.48,8.46
3,12,386,248.49017673677568,3947.1456690209643,10.84,8.59
4,1,104,244.23410958617376,3854.1690956160583,115.88,14.02
4,2,151,250.6486819588993,3998.208881521156,78.07,14.54
4,3,184,245.28393454021378,3874.866422990548,59.17,14.09
4,4,217,250.1132148524414,3992.4887758476516,44.84,14.52
4,5,261,246.2272349133442,3871.4288906399106,30.98,14.08
4,6,335,251.0527529689011,4011.426800643264,16.64,14.59
4,7,381,246.26728149571835,3893.133108416663,11.3,14.16
