lane,band_number,position_y,intensity,area,molecular_weight_kDa,normalized_area
1,1,19,247.0217532570569,3839.56631239241,10.0,0.14409036586268886
1,2,43,241.31768391741383,3778.6688050379894,10.0,0.14180501814346774
1,3,76,243.8493710889534,3875.588539421482,13.714285714285714,0.14544219975472383
1,4,112,246.07407305111667,3872.05174837894,18.857142857142854,0.14530947186989607
1,5,134,241.85053629936954,3788.4677361266495,21.75,0.14217275018681627
1,6,154,238.12512337808158,3702.588643830426,24.25,0.1389498992650912
1,7,170,239.98955426743737,3790.0011266997044,26.25,0.14223029491731587
2,1,20,247.6354695220773,3881.3082767932237,10.0,0.16714591399161527
2,2,49,244.02200996372068,3873.4936638598147,10.0,0.1668093829747272
2,3,78,246.99650852570386,3933.0456346398655,14.0,0.1693739482903835
2,4,113,246.13640382701254,3868.385058300745,19.0,0.16658938433393414
2,5,133,242.0571652374323,3824.506747701626,21.625,0.16469979458571726
2,6,168,242.1876545937555,3840.338442886091,26.0,0.16538157582362253
