Lane,Band_Number,Molecular_Weight_kDa,Intensity
2,1,178.57,15720.0
2,2,125.36,12423.0
2,3,100.0,15694.0
2,4,73.01,21140.0
2,5,62.5,12740.0
2,6,56.16,15720.0
2,7,43.78,21674.0
2,8,29.57,15766.0
2,9,10.25,15713.0
2,10,10.0,21308.0
3,1,178.57,18437.0
3,2,137.68,18486.0
3,3,95.14,18507.0
3,4,72.83,20915.0
3,5,64.86,18292.0
3,6,55.43,18275.0
3,7,43.78,21674.0
3,8,29.57,18095.0
3,9,21.11,18129.0
3,10,10.5,17760.0
3,11,10.0,21157.0
4,1,183.33,18725.0
4,2,130.43,18722.0
4,3,99.31,18796.0
4,4,72.83,21055.0
4,5,68.12,18262.0
4,6,63.77,18414.0
4,7,55.07,18733.0
4,8,43.78,21674.0
4,9,24.44,19070.0
4,10,10.5,18908.0
4,11,10.0,21353.0
5,1,188.1,18405.0
5,2,136.96,18707.0
5,3,98.61,18561.0
5,4,72.64,20657.0
5,5,64.67,18690.0
5,6,55.43,18668.0
5,7,43.78,21674.0
5,8,24.81,20434.0
5,9,17.0,20910.0
5,10,10.0,20440.0
5,11,10.0,21447.0
6,1,136.23,19723.0
6,2,111.59,18432.0
6,3,95.14,19574.0
6,4,74.28,21528.0
6,5,69.38,19381.0
6,6,63.59,19769.0
6,7,54.35,19773.0
6,8,41.52,21675.0
6,9,11.0,21675.0
6,10,10.0,21272.0
7,1,75.0,20903.0
7,2,40.96,21675.0
7,3,11.0,21675.0
7,4,10.0,21312.0
8,1,75.0,20720.0
