Lane,kDa,Intensity,Relative Quantity
0,147.28,8016.0,801.6
0,68.87,8310.0,831.0
0,27.45,3390.0,339.0
0,10.62,10594.0,1059.4
0,10.0,3410.0,341.0
0,10.0,2533.0,253.3
0,10.0,2678.0,267.8
1,200.0,8206.0,820.6
1,121.39,3438.0,343.8
1,73.68,4008.0,400.8
1,44.72,5802.0,580.2
1,27.14,10516.0,1051.6
1,16.48,4446.0,444.6
1,10.0,4298.0,429.8
2,200.0,6579.0,657.9
2,120.45,2723.0,272.3
2,73.68,3052.0,305.2
2,44.72,4209.0,420.9
2,27.14,8873.0,887.3
2,16.48,3116.0,311.6
2,10.2,3058.0,305.8
3,200.0,4745.0,474.5
3,127.4,2219.0,221.9
3,76.02,2474.0,247.4
3,47.84,3271.0,327.1
3,28.73,8648.0,864.8
3,16.91,2510.0,251.0
4,164.85,8368.0,836.8
4,74.84,8160.0,816.0
4,29.39,3461.0,346.1
4,11.97,10377.0,1037.7
4,10.0,3051.0,305.1
4,10.0,2228.0,222.8
4,10.0,2292.0,229.2
